step,reward_mean,reward_std,epoch
1,-0.0325,0.01633,0.03333
2,-0.0075,0.008864,0.06667
3,-0.01375,0.01923,0.1
4,-0.015,0.01498,0.1333
5,-0.01125,0.01759,0.1667
6,0.0,0.0,0.2
7,0.0,0.0,0.2333
8,0.0,0.0,0.2667
9,0.02,0.02138,0.3
10,0.0,0.0,0.3333
11,0.04792,0.02984,0.3667
12,0.241,0.09273,0.4
13,0.59,0.1699,0.4333
14,0.4917,0.0,0.4667
15,0.475,0.0,0.5
16,0.31,0.07651,0.5333
17,0.4333,0.0,0.5667
18,0.5344,0.02652,0.6
19,0.3725,0.07778,0.6333
20,0.7833,0.04714,0.6667
21,1.0,0.0,0.7
22,0.4125,0.03536,0.7333
23,1.0,0.0,0.7667
24,0.9,0.0,0.8
25,0.795,0.009258,0.8333
26,0.85,0.09258,0.8667
27,0.787,0.1702,0.9
28,0.6,0.1069,0.9333
29,0.9,0.0,0.9667
30,1.0,0.0,1.0
