step,reward_mean,reward_std,epoch
1,1.0,0.0,0.03333
2,1.0,0.0,0.06667
3,1.0,0.0,0.1
4,1.0,0.0,0.1333
5,1.0,0.0,0.1667
6,1.0,0.0,0.2
7,1.0,0.0,0.2333
8,1.0,0.0,0.2667
9,1.0,0.0,0.3
10,1.0,0.0,0.3333
11,1.0,0.0,0.3667
12,1.0,0.0,0.4
13,1.0,0.0,0.4333
14,1.0,0.0,0.4667
15,1.0,0.0,0.5
16,1.0,0.0,0.5333
17,1.0,0.0,0.5667
18,1.0,0.0,0.6
19,1.0,0.0,0.6333
20,1.0,0.0,0.6667
21,1.0,0.0,0.7
22,1.0,0.0,0.7333
23,1.0,0.0,0.7667
24,1.0,0.0,0.8
25,1.0,0.0,0.8333
26,1.0,0.0,0.8667
27,1.0,0.0,0.9
28,1.0,0.0,0.9333
29,1.0,0.0,0.9667
30,1.0,0.0,1.0
